Date,Close/Last,Volume,Open,High,Low,Adjust Open,,
05/23/2023,$148.31,5434078,$148.01,$148.8598,$147.08,148.01,,
05/22/2023,$148.59,5372598,$149.70,$150.08,$148.285,149.70,,
05/19/2023,$149.91,9198037,$151.40,$151.46,$149.112,151.40,,
05/18/2023,$151.47,15589520,$151.80,$154.29,$149.95,151.80,,
05/17/2023,$149.53,8995312,$151.14,$151.15,$148.71,151.14,,
05/16/2023,$149.78,5180003,$150.85,$151.53,$149.5728,150.85,,
05/15/2023,$151.88,5371343,$153.50,$153.85,$151.38,153.50,,
05/12/2023,$153.07,5373086,$153.60,$154.07,$152.71,153.60,,
05/11/2023,$153.12,3975620,$152.55,$153.27,$152.00,152.55,,
05/10/2023,$152.55,5275868,$153.69,$154.35,$151.23,153.69,,
05/09/2023,$152.98,5069914,$152.72,$153.18,$152.34,152.72,,
05/08/2023,$152.72,4975566,$151.27,$152.95,$151.06,151.27,,
05/05/2023,$151.77,4851970,$150.30,$152.01,$149.83,150.30,,
05/04/2023,$150.47,4670446,$150.55,$150.99,$149.49,150.55,,
05/03/2023,$150.62,4111451,$151.56,$152.10,$150.27,151.56,,
05/02/2023,$151.18,3776718,$151.47,$151.49,$149.46,151.47,,
05/01/2023,$151.59,3803383,$151.04,$152.54,$150.93,151.04,,
04/28/2023,$150.97,4696193,$151.29,$152.17,$150.18,151.29,,
04/27/2023,$151.38,4286990,$150.78,$151.94,$150.78,150.78,,
04/26/2023,$150.91,4303410,$150.98,$151.41,$150.22,150.98,,
04/25/2023,$151.57,5748866,$153.29,$153.75,$151.33,153.29,,
04/24/2023,$152.76,4526502,$151.71,$152.95,$151.71,151.71,,
04/21/2023,$151.73,8445244,$151.96,$152.30,$151.175,151.96,,
04/20/2023,$150.97,4547325,$150.21,$151.39,$149.60,150.21,,
04/19/2023,$150.01,4144515,$150.84,$151.41,$149.77,150.84,,
04/18/2023,$149.85,4494317,$149.78,$150.34,$149.44,149.78,,
04/17/2023,$149.52,5388938,$148.64,$149.67,$148.50,148.64,,
04/14/2023,$148.48,3488507,$149.03,$149.89,$148.145,149.03,,
04/13/2023,$149.49,4424230,$149.65,$150.00,$148.20,149.65,,
04/12/2023,$149.34,3736566,$149.79,$150.97,$149.17,149.79,,
04/11/2023,$150.07,6123476,$151.00,$151.00,$149.62,151.00,,
04/10/2023,$150.51,4839699,$150.36,$151.12,$149.77,150.36,,
04/06/2023,$150.80,5963871,$148.80,$151.0376,$148.52,148.80,,
04/05/2023,$149.67,8846897,$147.17,$149.88,$147.14,147.17,,
04/04/2023,$147.23,6037887,$148.53,$148.79,$147.02,148.53,,
04/03/2023,$148.69,6588882,$147.73,$148.95,$147.50,147.73,,
03/31/2023,$147.45,6955996,$146.58,$148.44,$146.47,146.58,,
03/30/2023,$145.67,7292999,$145.50,$146.60,$145.02,145.50,,
03/29/2023,$144.23,8072466,$144.37,$144.96,$143.45,144.37,,
03/28/2023,$143.61,7094282,$143.65,$144.41,$143.05,143.65,,
03/27/2023,$144.17,8925172,$142.79,$144.975,$142.78,142.79,,
03/24/2023,$141.80,7584272,$141.01,$142.47,$140.60,141.01,,
03/23/2023,$140.65,7348067,$140.20,$141.61,$139.49,140.20,,
03/22/2023,$139.52,6182807,$140.64,$141.22,$139.46,140.64,,
03/21/2023,$140.42,6337781,$141.39,$141.39,$139.53,141.39,,
03/20/2023,$140.90,11309530,$140.10,$141.92,$139.81,140.10,,
03/17/2023,$139.40,14360400,$138.19,$139.49,$137.59,138.19,,
03/16/2023,$138.28,9637470,$139.43,$139.65,$137.88,139.43,,
03/15/2023,$139.64,11044540,$136.89,$139.81,$136.71,136.89,,
03/14/2023,$138.10,8514220,$137.69,$138.27,$137.00,137.69,,
03/13/2023,$137.37,9380690,$136.68,$138.50,$136.58,136.68,,
03/10/2023,$136.97,6688361,$137.02,$138.28,$136.09,137.02,,
03/09/2023,$137.17,5138563,$138.83,$138.98,$136.92,138.83,,
03/08/2023,$138.10,6363574,$138.56,$138.92,$137.28,138.56,,
03/07/2023,$139.25,5795838,$141.18,$141.68,$138.79,141.18,,
03/06/2023,$140.65,5573612,$140.50,$140.98,$140.02,140.50,,
03/03/2023,$140.67,5629559,$141.04,$141.19,$139.77,141.04,,
03/02/2023,$140.50,4929515,$139.84,$140.74,$139.50,139.84,,
03/01/2023,$140.15,4726732,$141.06,$141.28,$139.3701,141.06,,
02/28/2023,$142.13,6018036,$141.00,$142.65,$140.95,141.00,,
02/27/2023,$141.44,5549099,$142.71,$143.09,$140.66,142.71,,
02/24/2023,$142.47,6874531,$140.84,$142.74,$139.53,140.84,,
02/23/2023,$142.09,7340419,$144.37,$144.37,$140.71,144.37,,
02/22/2023,$144.24,9947985,$146.77,$147.57,$142.76,146.77,,
02/21/2023,$147.33,18131280,$142.88,$148.34,$142.15,142.88,,
02/17/2023,$146.44,8256940,$145.11,$146.69,$144.57,145.11,,
02/16/2023,$144.27,5437386,$145.48,$145.99,$144.18,145.48,,
02/15/2023,$146.57,4892684,$144.96,$146.60,$144.56,144.96,,
02/14/2023,$145.49,4610630,$145.73,$147.1307,$144.56,145.73,,
02/13/2023,$145.91,5338635,$144.71,$146.12,$144.51,144.71,,
02/10/2023,$143.72,5000947,$143.09,$143.94,$142.17,143.09,,
02/09/2023,$141.52,4354979,$140.87,$141.94,$140.568,140.87,,
