,Open,High,Low,Close,Volume,TradingDate
0,78497.0,79454.0,77822.0,77991.0,2570300,2021-06-07
1,77991.0,77991.0,75346.0,76527.0,3759100,2021-06-08
2,81684.0,81836.0,80157.0,81149.0,3534100,2021-06-09
3,80768.0,81302.0,79088.0,79088.0,1655000,2021-06-10
4,79394.0,80310.0,79088.0,80081.0,1402400,2021-06-11
5,80157.0,80157.0,78707.0,79317.0,1256400,2021-06-14
6,78783.0,79623.0,78707.0,79394.0,1397700,2021-06-15
7,79394.0,79546.0,78630.0,79012.0,928700,2021-06-16
8,78630.0,78707.0,78019.0,78019.0,1672900,2021-06-17
9,78630.0,79394.0,78249.0,78630.0,2463900,2021-06-18
10,79546.0,83974.0,79012.0,83211.0,5282100,2021-06-21
11,85501.0,87409.0,84814.0,86646.0,2860800,2021-06-22
12,87715.0,88096.0,85119.0,85501.0,2761200,2021-06-23
13,84737.0,87791.0,82753.0,87791.0,3225900,2021-06-24
14,86646.0,91226.0,86646.0,90921.0,3539000,2021-06-25
15,91608.0,93822.0,91226.0,91608.0,2838700,2021-06-28
16,92219.0,92677.0,90387.0,92371.0,3288400,2021-06-29
17,93135.0,93135.0,91608.0,92371.0,2570300,2021-06-30
18,93975.0,94356.0,90997.0,91608.0,4599900,2021-07-01
19,93058.0,93058.0,89318.0,90845.0,5132300,2021-07-02
20,90158.0,90234.0,87257.0,87791.0,2451700,2021-07-05
21,87715.0,89700.0,87028.0,89318.0,3015300,2021-07-06
22,89318.0,90081.0,88173.0,90081.0,3716000,2021-07-07
23,87180.0,89318.0,83821.0,84585.0,9726500,2021-07-08
24,85043.0,85043.0,78783.0,79012.0,4811600,2021-07-09
25,79623.0,82066.0,76722.0,80233.0,3321300,2021-07-12
26,80310.0,80462.0,77867.0,79928.0,1750500,2021-07-13
27,79928.0,80081.0,76951.0,79394.0,3035000,2021-07-14
28,78630.0,79394.0,78249.0,79394.0,1922700,2021-07-15
29,79394.0,81073.0,78019.0,79852.0,3034300,2021-07-16
30,78630.0,79394.0,78249.0,78630.0,3234600,2021-07-19
31,78630.0,79012.0,77790.0,79012.0,2959200,2021-07-20
32,78859.0,79623.0,78554.0,78707.0,2556300,2021-07-21
33,78478.0,80157.0,78478.0,80081.0,2549000,2021-07-22
34,80004.0,80004.0,78630.0,78630.0,1917800,2021-07-23
35,78554.0,82066.0,78172.0,82066.0,3544400,2021-07-26
36,80157.0,81531.0,80157.0,81302.0,3971400,2021-07-27
37,80157.0,80157.0,79470.0,79470.0,1440900,2021-07-28
38,79699.0,79852.0,79165.0,79394.0,1230100,2021-07-29
39,79165.0,79928.0,79012.0,79394.0,1770500,2021-07-30
40,79012.0,81531.0,78630.0,79852.0,2468400,2021-08-02
41,79470.0,81073.0,79470.0,80539.0,2249700,2021-08-03
42,80768.0,83898.0,80462.0,82066.0,5758700,2021-08-04
43,82447.0,83669.0,82447.0,82447.0,2691800,2021-08-05
44,82447.0,82829.0,81989.0,82066.0,2468500,2021-08-06
45,82066.0,82142.0,80920.0,80920.0,3955600,2021-08-09
46,80920.0,81684.0,79852.0,79852.0,3132300,2021-08-10
47,79852.0,80462.0,79012.0,79317.0,2926900,2021-08-11
48,79241.0,79623.0,79012.0,79088.0,2232300,2021-08-12
49,79012.0,79317.0,78707.0,79012.0,2228800,2021-08-13
50,79088.0,79775.0,78936.0,79241.0,2089900,2021-08-16
51,79394.0,79394.0,78783.0,78783.0,1790400,2021-08-17
52,79241.0,79241.0,78325.0,78630.0,2798900,2021-08-18
53,78249.0,80157.0,78019.0,80081.0,4861800,2021-08-19
54,80004.0,80004.0,78325.0,79165.0,3088000,2021-08-20
55,79165.0,81073.0,79012.0,80081.0,3413100,2021-08-23
56,80539.0,80920.0,79012.0,80539.0,2427200,2021-08-24
57,80539.0,81684.0,80004.0,80539.0,2967700,2021-08-25
58,80539.0,80691.0,79012.0,79165.0,2569200,2021-08-26
59,79012.0,79241.0,78401.0,79241.0,2191900,2021-08-27
60,79241.0,79623.0,78936.0,79394.0,2027100,2021-08-30
61,79394.0,80462.0,78859.0,79699.0,2367900,2021-08-31
62,79699.0,80539.0,79470.0,79928.0,1999400,2021-09-01
63,80386.0,81073.0,79852.0,80004.0,2670600,2021-09-06
64,80004.0,80539.0,79623.0,80004.0,2327100,2021-09-07
65,80004.0,80081.0,79394.0,79394.0,2002700,2021-09-08
66,79241.0,79623.0,78783.0,78783.0,2164900,2021-09-09
67,78859.0,79394.0,78707.0,78859.0,2216700,2021-09-10
68,78783.0,78936.0,78401.0,78630.0,2566300,2021-09-13
69,78783.0,78936.0,78325.0,78630.0,2087300,2021-09-14
70,78630.0,78707.0,78325.0,78707.0,1919000,2021-09-15
71,79012.0,79165.0,78325.0,78707.0,1907000,2021-09-16
72,78707.0,79012.0,78401.0,78783.0,2604800,2021-09-17
73,78630.0,79012.0,78096.0,78630.0,2987700,2021-09-20
74,78630.0,78630.0,78096.0,78630.0,2363300,2021-09-21
75,78554.0,78783.0,78249.0,78707.0,2196300,2021-09-22
76,78478.0,78630.0,78096.0,78630.0,2298400,2021-09-23
77,78554.0,78630.0,78172.0,78630.0,2135000,2021-09-24
